idx,sci_name,com_name,species_code,class_name,common_name_de,common_name_es,common_name_pl,common_name_fr,common_name_nl,common_name_ru,common_name_ja,common_name_cs,common_name_ca,common_name_pt,common_name_no,common_name_bg,common_name_sv,common_name_da,common_name_tr,common_name_sk,common_name_sr,common_name_uk,common_name_zh-CN,common_name_fi,common_name_es_ES,common_name_es_MX,common_name_es_EC,common_name_pt_PT,common_name_hr,common_name_lt,common_name_fa,common_name_cy,common_name_et,common_name_it,common_name_zh-TW,common_name_eo,common_name_hu,common_name_ro,common_name_sl,common_name_lv,common_name_is,common_name_id,common_name_el,common_name_mk,common_name_be,common_name_af,common_name_se,common_name_ko,common_name_he,common_name_ar,common_name_th,common_name_ml
10,Acanthiza chrysorrhoa,Yellow-rumped Thornbill,yertho1,aves,Gelbbürzel-Dornschnabel,Acantiza Culigualda,buszówka żółtorzytna,Acanthize à croupion jaune,Geelstuitdoornsnavel,Желтопоясничная шипоклювка,コモントゲハシムシクイ,střízlíkovec žlutokostřecový,acantiza de carpó groc,acantiza-d'uropígio-amarelo,gulgumptornsmett,Жълтокръст шипоклюн певец,gulgumpad taggnäbb,Gulgumpet Mejsesanger,Sarı Belli Dikengaga,ostrozobka lúčna,Žutoleđa trnokljunka,Шиподзьоб жовтогузий,黄尾刺嘴莺,keltaperämaluri,Acantiza culigualda,Acantiza Culigualda,Acantiza Culigualda,Yellow-rumped thornbill,biserastočela trnokljunka,Geltonsturplis spygliasnapis,نوکخاری دمگاهزرد,Dreinbig tinfelyn,täpiklaup-sirilind,Beccospino groppagialla,黃腰刺嘴鶯,flavpuga akantizo,aranyhátú tüskecsőr,,,,,,,,,,,,,,,
11,Acanthiza cinerea,Gray Thornbill,mouger1,aves,Weißbürzel-Dornschnabel,Acantiza Gris,buszówka szara,Acanthize gris,Grijze doornsnavel,Белопоясничная геригона,ハイイロセンニョムシクイ,střízlíkovec šedý,acantiza argentada,acantiza-cinzenta,gråtornsmett,Сив шипоклюн певец,grå taggnäbb,Grå Mejsesanger,Gri Dikengaga,ostrozobka sivá,Siva trnokljunka,Ріроріро новогвінейський,新几内亚噪刺莺,harmaakeijumaluri,Acantiza gris,Acantiza Gris,Acantiza Gris,Gray thornbill,sivo-bijela trnokljunka,Kalninė gerigona,خوشنوای خاکستری,Caniedydd llwyd,hall-sirilind,Gerigone montana,新幾內亞吵刺鶯,griza akantizo,,,,,,Remetuk kelabu,,,,,,,,,,
12,Acanthiza ewingii,Tasmanian Thornbill,tastho1,aves,Tasmandornschnabel,Acantiza de Tasmania,buszówka rdzawoczelna,Acanthize de Tasmanie,Tasmaanse doornsnavel,Тасманийская шипоклювка,タスマニアトゲハシムシクイ,střízlíkovec jižní,acantiza de Tasmània,acantiza-da-tasmânia,tasmantornsmett,Тасманийски шипоклюн певец,tasmantaggnäbb,Tasmansk Mejsesanger,Tasmanya Dikengagası,ostrozobka tasmánska,Tasmanijska trnokljunka,Шиподзьоб тасманійський,塔岛刺嘴莺,tasmaniantiaismaluri,Acantiza de Tasmania,Acantiza de Tasmania,Acantiza de Tasmania,Tasmanian thornbill,pjegavogrla trnokljunka,Tasmaninis spygliasnapis,نوکخاری تاسمانی,Dreinbig Tasmania,kiripugu-sirilind,Beccospino di Tasmania,塔斯馬尼亞刺嘴鶯,tasmania akantizo,,,,,,,,,,,,,,,,
13,Acanthiza inornata,Western Thornbill,westho1,aves,Walddornschnabel,Acantiza Sencilla,buszówka uboga,Acanthize sobre,Kaap-Leeuwindoornsnavel,Лесная шипоклювка,ニシトゲハシムシクイ,střízlíkovec západoaustralský,acantiza occidental,acantiza-ocidental,vesttornsmett,Западен шипоклюн певец,västlig taggnäbb,Vestlig Mejsesanger,Batılı Boz Dikengaga,ostrozobka plavá,Zapadna trnokljunka,Шиподзьоб лісовий,西刺嘴莺,matkijatiaismaluri,Acantiza sencilla,Acantiza Sencilla,Acantiza Sencilla,Western thornbill,ljuskastoglava trnokljunka,Vakarinis spygliasnapis,نوکخاری غربی,Dreinbig y Gorllewin,lääne-sirilind,Beccospino occidentale,西方刺嘴鶯,senornama akantizo,,,,,,,,,,,,,,,,
14,Acanthiza iredalei,Slender-billed Thornbill,slbtho2,aves,Grunddornschnabel,Acantiza de Iredale,buszówka mała,Acanthize d'Iredale,Mulgadoornsnavel,Тонкоклювая шипоклювка,キゴシトゲハシムシクイ,střízlíkovec jihoaustralský,acantiza d'Iredale,acantiza-de-bico-fino,alvetornsmett,Пъстрочел шипоклюн певец,nullarbortaggnäbb,Tyndnæbbet Mejsesanger,Boz Dikengaga,ostrozobka štíhlozobá,Tankokljuna trnokljunka,Шиподзьоб карликовий,细嘴刺嘴莺,pikkutiaismaluri,Acantiza de Iredale,Acantiza de Iredale,Acantiza de Iredale,Slender-billed thornbill,ljuskastočela trnokljunka,Plonasnapis spygliasnapis,نوکخاری نوکباریک,Dreinbig sampier,maltsa-sirilind,Beccospino beccosottile,細嘴刺嘴鶯,stretbeka akantizo,,,,,,,,,,,,,,,,
15,Acanthiza katherina,Mountain Thornbill,moutho1,aves,Bergdornschnabel,Acantiza Montana,buszówka jasnooka,Acanthize des montagnes,Athertondoornsnavel,Горная шипоклювка,ヤマトゲハシムシクイ,střízlíkovec queenslandský,acantiza muntanyenca,acantiza-das-montanhas,bergtornsmett,Куинслендски шипоклюн певец,höglandstaggnäbb,Bjergmejsesanger,Dağ Dikengagası,ostrozobka džungľová,Planinska trnokljunka,Шиподзьоб квінслендський,山刺嘴莺,vuoritiaismaluri,Acantiza montana,Acantiza Montana,Acantiza Montana,Mountain thornbill,gorska trnokljunka,Kalninis spygliasnapis,نوکخاری کوهی,Dreinbig mynydd,queenslandi sirilind,Beccospino montano,山刺嘴鶯,monta akantizo,,,,,,,,,,,,,,,,
16,Acanthiza lineata,Striated Thornbill,strtho1,aves,Stricheldornschnabel,Acantiza Estriada,buszówka kreskowana,Acanthize ridé,Twijgdoornsnavel,Пёстрая шилоклювка,ムナフトゲハシムシクイ,střízlíkovec blahovičníkový,acantiza pintada,acantiza-estriada,stripetornsmett,Ивичест шипоклюн певец,strimmig taggnäbb,Stribet Mejsesanger,Çizgili Dikengaga,ostrozobka čiarková,Prugasta trnokljunka,Шиподзьоб смугастоволий,纵纹刺嘴莺,ruskopäämaluri,Acantiza estriada,Acantiza Estriada,Acantiza Estriada,Striated thornbill,prugastoglava trnokljunka,Dryžasis spygliasnapis,نوکخاری نواری,Dreinbig rhesog,triip-sirilind,Beccospino striato,縱紋刺嘴鶯,linia akantizo,,,,,,,,,,,,,,,,
17,Acanthiza murina,Papuan Thornbill,paptho1,aves,Papuadornschnabel,Acantiza Papú,buszówka mysia,Acanthize de Nouvelle-Guinée,Papoeadoornsnavel,Новогвинейская шипоклювка,パプアトゲハシムシクイ,střízlíkovec novoguinejský,acantiza de Nova Guinea,acantiza-murina,papuatornsmett,Папуаски шипоклюн певец,papuataggnäbb,Papua Mejsesanger,Papua Dikengagası,ostrozobka bledooká,Papuanska trnokljunka,Шиподзьоб новогвінейський,巴布亚刺嘴莺,papuantiaismaluri,Acantiza papú,Acantiza Papú,Acantiza Papú,Papuan thornbill,pjegavolica trnokljunka,Papuasinis spygliasnapis,نوکخاری گینه نو,Dreinbig De Vis,mägi-sirilind,Beccospino papua,鼠形刺嘴鶯,novgvinea akantizo,,,,,,Remetuk papua,,,,,,,,,,
18,Acanthiza nana,Yellow Thornbill,yeltho1,aves,Gelbbauch-Dornschnabel,Acantiza Enana,buszówka żółtobrzucha,Acanthize nain,Gele doornsnavel,Жёлтая шипоклювка,ヒメトゲハシムシクイ,střízlíkovec žlutý,acantiza daurada,acantiza-amarela,gultornsmett,Жълт шипоклюн певец,gul taggnäbb,Gulbuget Mejsesanger,Sarı Dikengaga,ostrozobka žltobruchá,Žuta trnokljunka,Шиподзьоб малий,小刺嘴莺,keltavatsamaluri,Acantiza enana,Acantiza Enana,Acantiza Enana,Yellow thornbill,žuta trnokljunka,Geltonasis spygliasnapis,نوکخاری زرد,Dreinbig melyn,kold-sirilind,Beccospino giallo,黃小刺嘴鶯,flava akantizo,sárga ausztrálposzáta,,,,,,,,,,,,,,,
19,Acanthiza pusilla,Brown Thornbill,brotho1,aves,Roststirn-Dornschnabel,Acantiza Parda,buszówka brązowa,Acanthize mignon,Bruine doornsnavel,Малая шипоклювка,チャイロトゲハシムシクイ,střízlíkovec rudooký,acantiza frontvermella,acantiza-pequena,bruntornsmett,Кафяв шипоклюн певец,rostpannad taggnäbb,Brun Mejsesanger,Kahverengi Dikengaga,ostrozobka hrdzavočelá,Smeđa trnokljunka,Шиподзьоб бурий,褐刺嘴莺,kaneliperämaluri,Acantiza parda,Acantiza Parda,Acantiza Parda,Brown thornbill,riđočela trnokljunka,Rudasis spygliasnapis,نوکخاری قهوهای,Dreinbig gwinau,ruskelaup-sirilind,Beccospino bruno,褐色刺嘴鶯,rustofrunta akantizo,barna ausztrálposzáta,,,,,,,,,,,,,,,
20,Acanthiza reguloides,Buff-rumped Thornbill,burtho1,aves,Goldhähnchen-Dornschnabel,Acantiza Reguloide,buszówka zmienna,Acanthize à croupion beige,Vaalstuitdoornsnavel,Корольковая шипоклювка,ウグイストゲハシムシクイ,střízlíkovec východoaustralský,acantiza reguloide,acantiza-d'uropígio-creme,okergumptornsmett,Оранжевокръст шипоклюн певец,ockragumpad taggnäbb,Brungumpet Mejsesanger,Keten Belli Dikengaga,ostrozobka kôrarská,Žutotrba trnokljunka,Шиподзьоб золотомушковий,棕尾刺嘴莺,ruso-otsamaluri,Acantiza reguloide,Acantiza Reguloide,Acantiza Reguloide,Buff-rumped thornbill,maslinastokapa trnokljunka,Nykštukinis spygliasnapis,نوکخاری کفلکاهی,Dreinbig rhisgl,eukalüpti-sirilind,Beccospino groppacamoscio,棕腰刺嘴鶯,okrapuga akantizo,,,,,,,,,,,,,,,,
21,Acanthiza robustirostris,Slaty-backed Thornbill,slbtho1,aves,Graurücken-Dornschnabel,Acantiza Pizarrosa,buszówka śniada,Acanthize ardoisé,Grijsrugdoornsnavel,Сероспинная шипоклювка,ハイイロトゲハシムシクイ,střízlíkovec šedohřbetý,acantiza pissarrosa,acantiza-ardósia,mulgatornsmett,Ръждивокръст шипоклюн певец,gråryggig taggnäbb,Grårygget Mejsesanger,Gri Sırtlı Dikengaga,ostrozobka popolavá,Sivoleđa trnokljunka,Шиподзьоб сіроспинний,蓝灰刺嘴莺,valkovatsamaluri,Acantiza pizarrosa,Acantiza Pizarrosa,Acantiza Pizarrosa,Slaty-backed thornbill,olovastokrila trnokljunka,Pilkanugaris spygliasnapis,نوکخاری پشتکبود,Dreinbig pigdew,mulga-sirilind,Beccospino dorsoardesia,強健刺嘴鶯,ardezdorsa akantizo,,,,,,,,,,,,,,,,
22,Acanthiza uropygialis,Chestnut-rumped Thornbill,chrtho1,aves,Braunbürzel-Dornschnabel,Acantiza Culirroja,buszówka rudorzytna,Acanthize à croupion roux,Roodstaartdoornsnavel,Рыжепоясничная шипоклювка,コシアカトゲハシムシクイ,střízlíkovec světlebřichý,acantiza de carpó rogenc,acantiza-d'uropígio-castanho,kastanjegumptornsmett,Кестенявокръст шипоклюн певец,rödgumpad taggnäbb,Rødgumpet Mejsesanger,Kestane Belli Dikengaga,ostrozobka bútľavinová,Kestenjastoleđa trnokljunka,Шиподзьоб рудогузий,栗尾刺嘴莺,pähkinäperämaluri,Acantiza culirroja,Acantiza Culirroja,Acantiza Culirroja,Chestnut-rumped thornbill,crnorepa trnokljunka,Rudasturplis spygliasnapis,نوکخاری کفلبلوطی,Dreinbig tinwinau,õõne-sirilind,Beccospino groppacastana,栗腰刺嘴鶯,rufpuga akantizo,,,,,,,,,,,,,,,,
23,Acanthorhynchus superciliosus,Western Spinebill,wesspi1,aves,Buntkopf-Honigfresser,Picoespina Occidental,miodopijek rdzawoszyi,Méliphage festonné,Roesthalshoningeter,Западная титиара,ニシキリハシミツスイ,jehlozobka západní,bec d'espina occidental,papa-mel-ocidental,trikolorhonningeter,Червеноврат медояд,rosthalsad honungsfågel,Vestlig Seglnæb,Hercai Kılgaga,peliar hrdzavokrký,Zapadni tankokljuni medojed,Медолюб-шилодзьоб західний,西尖嘴吸蜜鸟,vyömesikko,Picoespina occidental,Picoespina Occidental,Picoespina Occidental,Western spinebill,tankokljuni medojed,vakarinis smailiasnapis medsiurbys,خارنوک غربی,Melysor pigfain y Gorllewin,vöö-meelind,Spinorinco occidentale,西方刺嘴吸蜜鳥,rufkola mielmanĝulo,nyugati mézmadár,,,,,,,,,,,,,,,
24,Acanthorhynchus tenuirostris,Eastern Spinebill,easspi1,aves,Rotnacken-Honigfresser,Picoespina Oriental,miodopijek długodzioby,Méliphage à bec grêle,Zwarthalshoningeter,Восточная титиара,キリハシミツスイ,jehlozobka východní,bec d'espina oriental,papa-mel-oriental,prydhonningeter,Кафявогуш медояд,rostnackad honungsfågel,Østlig Seglnæb,Kızıl Enseli Kılgaga,peliar tenkozobý,Istočni tankokljuni medojed,Медолюб-шилодзьоб східний,东尖嘴吸蜜鸟,naskalivyömesikko,Picoespina oriental,Picoespina Oriental,Picoespina Oriental,Eastern spinebill,iglokljuni medojed,rytinis smailiasnapis medsiurbys,خارنوک شرقی,Melysor pigfain y Dwyrain,manisk-meelind,Spinorinco orientale,東方刺嘴吸蜜鳥,rufnuka mielmanĝulo,keleti mézmadár,,,,,,,,,,,,,,,
25,Acanthornis magna,Scrubtit,scrubt2,aves,Stammhuscher,Sedosito Tasmano,tasmanówka,Séricorne de Tasmanie,Kleine Tasmaanse struiksluiper,Синицевый шипоклюв,メジロヤブムシクイ,střízlíkovec sýkorovitý,espineta de Tasmània,arbusteiro-da-tasmânia,klatrekrattsmett,Сивоушка,snårsmyg,Buskmejse,Ak Gözlü Akantiz,papradníček krovinový,Senicoliki šibljački carić,Кущовик острівний,灌丛丝刺莺,tasmaniansilkkimaluri,Sedosito tasmano,Sedosito Tasmano,Sedosito Tasmano,Scrubtit,srebrnastolica trnokljunka,Tasmaninis serikornis,چرخریسک بوتهای,Dryw prysgoed clustlwyd,oru-sirilind,Acantiza di macchia,藪刺鶯,vepra akantizo,tasmán tüskecsőr,,,,,,,,,,,,,,,
26,Acanthoventris drewseni,Acanthoventris drewseni,1463115,insecta,Acanthoventris drewseni,Chicharra Verde Común,Acanthoventris drewseni,Acanthoventris drewseni,Acanthoventris drewseni,Acanthoventris drewseni,Acanthoventris drewseni,Acanthoventris drewseni,Acanthoventris drewseni,Acanthoventris drewseni,Acanthoventris drewseni,Acanthoventris drewseni,Acanthoventris drewseni,Acanthoventris drewseni,Acanthoventris drewseni,Acanthoventris drewseni,Acanthoventris drewseni,Acanthoventris drewseni,Acanthoventris drewseni,Acanthoventris drewseni,Acanthoventris drewseni,Acanthoventris drewseni,Acanthoventris drewseni,Acanthoventris drewseni,Acanthoventris drewseni,Acanthoventris drewseni,Acanthoventris drewseni,Acanthoventris drewseni,Acanthoventris drewseni,,,,,,,,,,,,,,,,,,,
27,Accipiter madagascariensis,Madagascar Sparrowhawk,madspa1,aves,Madagaskarsperber,Gavilán Malgache,krogulec prążkowany,Épervier de Madagascar,Madagaskarsperwer,Мадагаскарский перепелятник,マダガスカルハイタカ,krahujec madagaskarský,esparver de Madagascar,gavião-malgaxe,madagaskarhauk,Мадагаскарски среден ястреб,madagaskarsparvhök,Madagascarspurvehøg,Madagaskar Atmacası,jastrab madagaskarský,Madagaskarski kobac,Яструб мадагаскарський,马达加斯加雀鹰,madagaskarinlintuhaukka,Gavilán malgache,Gavilán Malgache,Gavilán Malgache,Madagascar sparrowhawk,mrki kobac,Madagaskarinis paukštvanagis,بازگنجشک ماداگاسکاری,Gwalch Madagasgar,madagaskari raudkull,Sparviere del Madagascar,馬達加斯加雀鷹,madagaskara akcipitro,madagaszkári karvaly,,,,,,,,,,,,,,,
28,Accipiter nisus,Eurasian Sparrowhawk,eurspa1,aves,Sperber,Gavilán Común,krogulec,Épervier d'Europe,Sperwer,Перепелятник,ハイタカ,krahujec obecný,esparver comú,gavião,spurvehauk,Малък ястреб,sparvhök,Spurvehøg,Atmaca,jastrab krahulec,Kobac,Яструб малий,雀鹰,varpushaukka,Gavilán común,Gavilán Común,Gavilán Común,Gavião,kobac,Paukštvanagis,قرقی (باشه) اوراسیایی,Gwalch glas,raudkull,Sparviere,北雀鷹〔雀鷹〕,eŭrazia akcipitro,karvaly,Uliu păsărar,skobec,zvirbuļu vanags,Sparrhaukur,,Ξεφτέρι,јастреб врапчар,Шуляк-карагольчык,,Dihtti,새매,נץ מצוי,باشق اوراسي,เหยี่ยวนกกระจอกใหญ่,യൂറേഷ്യൻ പ്രാപ്പിടിയൻ
29,Accipiter ovampensis,Ovambo Sparrowhawk,ovaspa2,aves,Ovambosperber,Gavilán del Ovambo,krogulec szary,Épervier des Ovampos,Ovambosperwer,Краснобокий перепелятник,サバンナハイタカ,krahujec ovampský,esparver d'Ovambo,gavião-do-ovambo,ovambohauk,Овамбоенски ястреб,ovambosparvhök,Ovampo Spurvehøg,Ovambo Atmacası,jastrab ovambský,Ovambo jastreb,Яструб намібійський,南非雀鹰,savannilintuhaukka,Gavilán del Ovambo,Gavilán del Ovambo,Gavilán del Ovambo,Ovambo sparrowhawk,sivi kobac,Namibinis paukštvanagis,بازگنجشک اوامبو,Gwalch Ovambo,savanni-raudkull,Sparviere dell'Ovampo,南非雀鷹,ovamba akcipitro,ovampo karvaly,,,,,,,,,Ovambosperwer,,,,,,
30,Accipiter poliogaster,Gray-bellied Hawk,gybhaw1,aves,Graubauchhabicht,Azor Ventrigrís,krogulec siwobrzuchy,Autour à ventre gris,Zuid-Amerikaanse havik,Серобрюхий ястреб,セグロオオタカ,jestřáb jihoamerický,astor pitblanc,tauató-pintado,gråbukhauk,Сивокорем ястреб,gråbukig hök,Gråbuget Duehøg,Gri Karınlı Atmaca,jastrab sivobruchý,Sivotrbi južnoamerički jastreb,Яструб сірочеревий,灰腹鹰,amazoniankanahaukka,Azor ventrigrís,Azor Ventrigrís,Azor Ventrigrís,Tauató-pintado,bjelotrbi jastreb,Pilkapilvis vištvanagis,باز شکمخاکستری,Gwyddwalch torllwyd,selvakull,Astore panciagrigia,灰腹鷹,grizventra akcipitro,szürkehasú héja,,,,,,,,,,,,,,,
31,Accipiter rufiventris,Rufous-breasted Sparrowhawk,rucspa2,aves,Rotbauchsperber,Gavilán Papirrufo,krogulec rudobrzuchy,Épervier menu,Roodborstsperwer,Красногрудый перепелятник,ムネアカハイタカ,krahujec rezavoprsý,esparver canyella,gavião-ruivo,rødbrystspurvehauk,Ръждивогръд ястреб,rostbröstad sparvhök,Brunbrystet Spurvehøg,Kızıl Karınlı Atmaca,jastrab hrdzavoprsý,Crvenogrudi kobac,Яструб кенійський,棕胸雀鹰,ruostelintuhaukka,Gavilán papirrufo,Gavilán Papirrufo,Gavilán Papirrufo,Rufous-breasted sparrowhawk,riđotrbi kobac,Rausvakrūtis paukštvanagis,بازگنجشک سینهحنایی,Gwalch brongoch,mägi-raudkull,Sparviere pettorossiccio,棕胸雀鷹,rufbrusta akcipitro,vörösmellű karvaly,,,,,,,,,Rooiborssperwer,,,,,,
32,Accipiter striatus,Sharp-shinned Hawk,shshaw,aves,Eckschwanzsperber,Gavilán Americano,krogulec zmienny,Épervier brun,Amerikaanse sperwer,Американский перепелятник,アシボソハイタカ,krahujec americký,esparver americà,tauató-miúdo,parulahauk,Американски малък ястреб,amerikansk sparvhök,Amerikansk Spurvehøg,Amerika Atmacası,jastrab čiarkový,Američki kobac,Яструб неоарктичний,纹腹鹰,amerikanvarpushaukka,Gavilán americano,Gavilán Pecho Canela,Azor Americano,Gavião-miúdo,američki kobac,Rausvaausis vanagas,باز ساقتیز,Gwalch Cynffonsgwar,ameerika raudkull,Sparviere americano,條紋鷹,amerika akcipitro,csíkos karvaly,,,strīpainais vanags,,,,,,,,,,,,
33,Aceros nipalensis,Rufous-necked Hornbill,runhor1,aves,Nepalhornvogel,Cálao del Nepal,dzioborożec rudy,Calao à cou roux,Himalayajaarvogel,Непальский калао,ナナミゾサイチョウ,zoborožec rezavý,calau collrogenc,calau-nepalês,rødhalshornfugl,Ръждивоврата птица носорог,rosthalsad näshornsfågel,Rødhalset Rynkenæb,Kızıl Boyunlu Boynuzgaga,zobákorožec hrdzavý,Crvenobradi kljunorožac,Калао непальський,棕颈犀鸟,kiilasarvinokka,Cálao del Nepal,Cálao del Nepal,Cálao del Nepal,Rufous-necked hornbill,crvenogrli kljunorožac,Nepalinis aceras,نوکشاخ گردنحنایی,Cornbig gyddfgoch,nudi-sarvlind,Bucero collorossiccio,棕頸犀鳥,rufkola bucero,vöröshasú szarvascsőrű,,,,,,,,,,,,,,นกเงือกคอแดง,
34,Achaetops pycnopygius,Rockrunner,damroc1,aves,Klippensänger,Saltarrocas Damara,skalnik,Achétopse à flancs roux,Roodstuitrotszanger,Дамарский скалолаз,イワトビムシクイ,skalňáček drozdovitý,roqueret damara,salta-pedras,steinhopper,Скален славей,damarasångare,Klippehopper,Damara Kayabülbülü,skalobežec škvrnitý,Damarski lažni čukundrozd,Куцохвостик малий,岩莺,louhikkokerttu,Saltarrocas damara,Saltarrocas Damara,Saltarrocas Damara,Rockrunner,kamenjarska cvrkutuša,Dryžakrūtė devynbalsė,دونده صخره,Coegneidiwr meini,Rockrunner,Saltarocce del Damara,達馬拉岩跳鶥〔岩跳草鶯〕,damara makrosfeno,,,,,,,,,,Rotsvoël,,,,,,
35,Acheta domesticus,House Cricket,133220,insecta,Heimchen,Grillo asiático doméstico,świerszcz domowy,Grillon domestique,Huiskrekel,Сверчок домовый,ヨーロッパイエコオロギ,cvrček domácí,grill domèstic,Grilo-doméstico,hussiriss,House Cricket,hussyrsa,Husfårekylling,House Cricket,svrček domový,Кућни попац,Цвіркун хатній,家蟋蟀,kotisirkka,House Cricket,House Cricket,House Cricket,House Cricket,Kućni šturak,Naminis svirplys,House Cricket,House Cricket,Toakilk,,,,,,,,,,,,,,,,,,,
36,Acheta hispanicus,Spanish House-Cricket,917175,insecta,Spanish House-Cricket,Spanish House-Cricket,Spanish House-Cricket,Spanish House-Cricket,Spanish House-Cricket,Сверчок испанский,Spanish House-Cricket,Spanish House-Cricket,Spanish House-Cricket,Spanish House-Cricket,Spanish House-Cricket,Spanish House-Cricket,Spanish House-Cricket,Spanish House-Cricket,Spanish House-Cricket,Spanish House-Cricket,Spanish House-Cricket,Spanish House-Cricket,Spanish House-Cricket,Spanish House-Cricket,Spanish House-Cricket,Spanish House-Cricket,Spanish House-Cricket,Spanish House-Cricket,Spanish House-Cricket,Spanish House-Cricket,Spanish House-Cricket,Spanish House-Cricket,Spanish House-Cricket,,,,,,,,,,,,,,,,,,,
37,Acinonyx jubatus,Cheetah,41955,mammalia,Gepard,Guepardo,Gepard grzywiasty,Guépard,Cheetah,Гепард,チーター,gepard štíhlý,Guepard,Chita,Gepard,Гепард,gepard,Gepard,Çita,Gepard,гепард,Гепард,猎豹,Gepardi,Cheetah,Cheetah,Cheetah,Cheetah,Gepard,Gepardas,یوزپلنگ,llewpart hela,Gepard,,,,,,,,,,,,,,,,,,,
38,Acridotheres albocinctus,Collared Myna,colmyn1,aves,Halsbandmaina,Miná Acollarado,majna obrożna,Martin à collier,Witkraagmaina,Ошейниковая майна,シロエリハッカ,majna bělokrká,mainà de collar,mainá-de-colar,kragestær,Синеока майна,halsbandsmajna,Hvidhalset Maina,Yakalı Çiğdeci,škorec golierikatý,Ogrličasta mina,Майна юнанська,白领八哥,sepelmaina,Miná acollarado,Miná Acollarado,Miná Acollarado,Collared myna,bjelovrati čvorak,apykaklėtoji maina,مینای طوقه,Maina torchwyn,kaelus-mainakuldnokk,Maina dal collare,白領八哥,koluma majno,nyakörves majna,,,,,,,,,,,,,,,
39,Acridotheres burmannicus,Burmese Myna,vibsta1,aves,Burmamaina,Miná Birmano,majna birmańska,Martin birman,Birmese maina,Камбоджийский скворец,シロガシラムクドリ,majna barmská,mainà de Myanmar,mainá-birmanês,burmastær,Бирманска майна,burmamajna,Myanmarstær,Gri Enseli Çiğdeci,škorec vínovoprsý,Burmanska mina,Майна бірманська,红嘴椋鸟,naamiokottarainen,Miná birmano,Miná Birmano,Miná Birmano,Burmese myna,burmanski čvorak,kambodžinė maina,سار سینهشرابی,Drudwen Jerdon,hõbe-mainakuldnokk,Maina di Jerdon,紅嘴椋鳥,birma majno,burmai seregély,,,,,,,,,,,,זרזיר בורמזי (בורמזי),زرزور خمريُّ الصدر (burmannicus),นกกิ้งโครงหัวสีนวล,
40,Acridotheres cinereus,Pale-bellied Myna,pabmyn1,aves,Fahlbauchmaina,Miná Cenizo,majna popielata,Martin cendré,Vaalbuikmaina,Серая майна,ハッカ,majna celebeská,mainà cendrós,mainato-de-barriga-branca,gresstær,Светлокорема майна,sulawesimajna,Sulawesi Maina,Boz Çiğdeci,škorec dobytčí,Svetlotrba mina,Майна світлочерева,淡腹八哥,celebesinviidakkomaina,Miná cenizo,Miná Cenizo,Miná Cenizo,Mainato-de-barriga-branca,sivotrbi čvorak,pilkoji maina,مینای شکمروشن,Maina tinwyn,sulawesi mainakuldnokk,Maina panciachiara,蒼腹椋鳥,cindra majno,szürke majna,,,,,Kerak perut-pucat,,,,,,,,,,
41,Acridotheres cristatellus,Crested Myna,cremyn,aves,Haubenmaina,Miná Crestado,majna czubata,Martin huppé,Kuifmaina,Хохлатая майна,ハッカチョウ,majna chocholatá,mainà crestat,mainato-de-poupa,krøllstær,Качулата майна,kinesisk majna,Topmaina,Tepeli Çiğdeci,škorec chochlatý,Ćubasta mina,Майна чубата,八哥,riisimaina,Miná crestado,Miná Crestado,Estornino Crestado,Mainato-de-poupa,bjelokljuni čvorak,cimeņmaina,مینای تاجدار,Maina Tsieina,hiina mainakuldnokk,Maina crestata,八哥〔冠八哥〕,kresta majno,bivalymajna,,,cimeņmaina,,,,,,,,,,,นกเอี้ยงหงอนก้นลาย,
42,Acridotheres fuscus,Jungle Myna,junmyn1,aves,Dschungelmaina,Miná de Jungla,majna szara,Martin forestier,Junglemaina,Джунглевая майна,モリハッカ,majna hnědá,mainà de jungla,mainá-da-selva,krattstær,Горска майна,djungelmajna,Brun Maina,Kurşuni Çiğdeci,škorec džungľový,Prašumska mina,Майна джунглева,丛林八哥,viidakkomaina,Miná de jungla,Miná de Jungla,Miná de Jungla,Jungle myna,šumski čvorak,džiunglinė maina,مینای جنگلی,Maina tywyll,džungli-mainakuldnokk,Maina della giungla,林八哥,ĝangala majno,dzsungel majna,,,,,,,,,,,,,,นกเอี้ยงควาย,കിന്നരിമൈന
43,Acridotheres ginginianus,Bank Myna,banmyn1,aves,Ufermaina,Miná Ribereño,majna norowa,Martin des berges,Oevermaina,Береговая майна,ハイイロハッカ,majna břehová,mainà riberenc,mainá-ribeirinho,landsbystær,Сива майна,brinkmajna,Grå Maina,Dere Çiğdecisi,škorec pobrežný,Siva mina,Майна берегова,灰背岸八哥,intianmaina,Miná ribereño,Miná Ribereño,Miná Ribereño,Bank myna,crno-sivi čvorak,krastu maina,مینای خاکستری,Maina’r dorlan,kalda-mainakuldnokk,Maina degli argini,灰背岸八哥,riverborda majno,hindu menjó,,,krastu maina,,,,,,,,,מיינת גדות,,,
